5.566956,1
6.675014,2
8.281733,0
9.226034,0
10.6839,0
11.62821,0
13.25223,0
14.06414,0
15.68712,0
16.5982,0
18.42054,0
19.13351,0
20.67391,0
21.61798,0
23.48993,1
24.28513,0
25.26355,2
25.8921,1
26.70387,1
27.64843,2
28.64217,0
29.17262,1
29.86834,2
30.79622,1
31.44251,0
32.3034,2
33.03275,1
33.36385,0
33.66187,1
34.72213,2
35.40196,1
35.69957,0
36.04781,1
36.8261,1
37.50533,2
38.10173,1
38.36694,0
38.71582,0
39.77595,0
40.62088,2
41.28403,0
41.81388,1
42.27798,2
42.95675,0
43.23838,1
44.13298,1
44.81231,2
45.32578,1
45.67368,1
46.03815,0
46.68425,1
46.98245,1
47.29721,0
47.91018,2
48.50697,1
48.85448,1
49.18582,0
49.86505,1
50.47802,1
50.87571,1
51.07442,0
51.65442,1
51.90275,1
52.26727,0
52.28426,2
52.88029,1
53.14525,1
53.52628,2
53.54285,0
54.07298,1
54.48775,0
54.83505,1
55.44851,0
55.7633,1
56.0613,1
56.80648,0
57.12125,1
57.46957,1
57.98285,0
58.23122,1
58.54598,1
58.89388,0
59.19208,1
59.52401,1
59.78879,1
60.13638,0
60.45115,1
61.69368,1
62.96962,2
63.56646,1
63.91418,0
64.07926,1
64.82476,1
65.08982,2
65.38802,1
66.03456,0
66.68053,1
67.02812,1
67.34289,2
67.47542,1
67.80676,0
68.13808,1
68.51912,1
69.09897,2
69.48003,1
69.81132,0
70.42451,1
70.77246,1
71.10352,2
71.66734,1
71.99818,1
72.24714,0
72.34602,1
72.71087,1
72.84386,2
73.19092,1
73.50585,1
74.13522,1
74.44999,0
74.78132,1
75.11309,1
75.49369,1
75.79189,2
76.12325,1
76.38828,2
76.71962,2
77.00125,1
77.31602,0
77.39886,1
77.81302,1
78.14483,2
78.54195,1
79.22118,0
79.83434,0
80.41415,1
80.71219,2
81.07713,1
81.35926,0
81.70621,1
82.00439,1
82.3192,2
82.63396,1
82.94868,0
83.21398,1
83.54588,1
84.17549,2
84.8214,1
85.45032,1
85.79821,1
86.1465,1
86.75902,2
87.33885,2
87.88555,1
88.18375,1
88.53165,2
89.17827,1
89.44338,1
89.79072,2
90.40369,1
90.70189,1
91.03348,2
91.64637,1
91.96124,0
92.27572,1
92.62373,1
92.90556,2
93.18688,1
93.51859,2
94.09863,1
94.84355,1
95.40682,1
96.03635,1
